entity,label,count
kurta,GPE,2
feni,PERSON,2
jonbeel mela,PERSON,2
panchalinga darshana,FAC,2
qubani,PERSON,2
meetha,PERSON,2
bce - 4th century ce period,EVENT,2
green revolution,EVENT,2
the khairatabad mosque,ORG,2
the kashmir valley,LOC,2
de zamboulim,PERSON,2
kadalekai parishe,PERSON,2
purnima,PERSON,2
pulie badze,PERSON,2
purana pul,FAC,2
gadwal,ORG,2
zampa gateway,PERSON,2
gautampura,GPE,2
ujjayanta palace,FAC,2
rohit bansal,PERSON,2
the sharavati river,LOC,2
the majuli river island,LOC,2
the world book fair,EVENT,2
dornakal,PERSON,2
the chowmahalla palace,ORG,2
braj cuisine,PERSON,2
chithirai festival,EVENT,2
the fambong lho wildlife sanctuary,ORG,2
sita ramachandraswamy temple,FAC,2
chola dynasty,ORG,2
haora river,LOC,2
dasara celebrations,ORG,2
agartala book fair,ORG,2
the ramagiri fort,LOC,2
diwali,GPE,2
telugu,ORG,2
rohit khandelwal,ORG,2
parvati,GPE,2
shivratri,PERSON,2
mandi,PERSON,2
kullu dussehra,PERSON,2
chedi empire,GPE,2
jarasandha,PERSON,2
duryodhana,PERSON,2
the sri kurmam temple,ORG,2
kurma,GPE,2
lake tsomgo,FAC,2
eaglenest wildlife sanctuary,ORG,2
gujarat,GPE,2
narali purnima festival,ORG,2
historic fort,PERSON,2
st. paul's church,ORG,2
the bonderam festival,EVENT,2
the ramman festival,EVENT,2
104 km2,PRODUCT,2
singalila,PERSON,2
har ki pauri,ORG,2
"the ""hornbill festival",PRODUCT,2
asaf jahi,WORK_OF_ART,2
"the ""world book fair",EVENT,2
the ahom kingdom,GPE,2
shivalik,LOC,2
tosham rock,PERSON,2
kota gullu,PERSON,2
durgi,NORP,2
kang,ORG,2
khes,PERSON,2
mysore dasara,LOC,2
the banarasi saree,ORG,2
the naida caves,ORG,2
sri kudala sangameshwara jatra,FAC,2
the mian mishk mosque,ORG,2
dalai lama,PERSON,2
khangchendzonga national park,FAC,2
vishnu and shiva,ORG,2
india’s,ORG,2
misal pav,PERSON,2
cheriyal scroll painting,ORG,2
ameenpur lake,WORK_OF_ART,2
"the ""kol rebellion",ORG,2
"the ""khairatabad mosque",ORG,2
trishna wildlife sanctuary,WORK_OF_ART,2
mary kom,PERSON,2
"the ""gumti wildlife sanctuary",PRODUCT,2
"the ""virupaksha temple",ORG,2
"the ""lokrang festival",ORG,2
"the ""natyanjali dance festival",ORG,2
mohameddens,NORP,2
our lady of angels,WORK_OF_ART,2
tomb,PERSON,2
prayagraj kumbh mela,PERSON,2
paranthe wali gali,WORK_OF_ART,2
the basheer bagh palace,ORG,2
k. chandrasekhar rao,PERSON,2
subansiri river,LOC,2
the hidimba devi temple,FAC,2
dingko singh,PERSON,2
rabindranath tagore,PERSON,2
rashid ali,PERSON,2
tooni,PERSON,2
rani chaap,PERSON,2
golu,PERSON,2
nagaland zoological park,FAC,2
navreh,NORP,2
khan,PERSON,2
fambong lho wildlife sanctuary,PERSON,2
rowa wildlife sanctuary,GPE,2
kameeswarar,PERSON,2
"the ""rumtek monastery",ORG,2
kitam bird,WORK_OF_ART,2
bhaskaravarman,PERSON,2
kamarupa,PERSON,2
"the ""banarasi saree",PRODUCT,2
shantiniketan,NORP,2
the lepakshi temple,ORG,2
the nizams of the asaf jahi,ORG,2
mamluk dynasty,ORG,2
capital,GPE,2
the puranas of hinduism,PERSON,2
the gumti wildlife sanctuary,LOC,2
gangotri,PERSON,2
kuntala waterfall,PERSON,2
indraprastha,GPE,2
the kuru kingdom,LOC,2
minjar festival,EVENT,2
kang festival,FAC,2
sudhir tailang,PERSON,2
the assam state museum,ORG,2
hussain sagar,PERSON,2
nirmal,ORG,2
the nagpuri language,FAC,2
fox sagar lake,PERSON,2
